from,to,airline,start_time,end_time,period,type
上海,首尔,MU5033,12:35,15:20,1234567,A321
上海,首尔,OZ364,13:00,15:55,1234567,A320
上海,首尔,KE898,13:35,16:30,1234567,B772
上海,首尔,FM827,14:25,17:10,1234567,B738
上海,首尔,CZ369,15:00,17:45,1234567,B737
上海,首尔,FM823,15:30,18:20,1234567,B757
上海,首尔,OZ366,16:20,19:15,1234567,B767
上海,首尔,KE2816,18:00,21:00,1234567,B744
上海,首尔,MU5051,18:10,20:45,1234567,A333
上海,首尔,OZ3625,18:15,21:05,1234567,A333
上海,首尔,KE896,21:20,0:15,1234567,B738
上海,东京,FM815,9:00,12:30,1234567,B757
上海,东京,JL872,9:00,13:00,1234567,B767
上海,东京,DL296,9:05,13:05,1234567,A333
上海,东京,MU523,9:10,12:50,1234567,A333
上海,东京,MU537,9:40,13:30,1234567,A333
上海,东京,CA929,9:55,13:50,1234567,A340
上海,东京,NH922,10:15,14:15,1234567,B772
上海,东京,JL874,11:50,15:50,1234567,B738
上海,东京,MU521,12:00,16:00,123567,A333
上海,东京,JL082,12:50,16:40,1234567,B772
上海,东京,NH920,13:10,17:00,1234567,B763
上海,东京,NH1260,13:50,17:40,1234567,B772
上海,东京,JL876,14:05,18:05,1234567,B767
上海,东京,CA919,14:15,18:00,1234567,A321
上海,东京,NH960,17:00,20:55,1234567,B763
上海,东京,MU271,17:05,20:30,1234567,A333
上海,东京,CA157,17:05,21:00,1234567,B738
上海,札幌,MU279,8:15,12:30,23567,A320
上海,澳门,9C8875,8:30,11:10,1234567,A320
上海,澳门,NX137,9:00,11:20,1234567,A320
上海,澳门,FM817,9:55,12:40,1234567,B738
上海,澳门,MU2007,12:25,15:00,1234567,A320
上海,澳门,NX105,13:55,16:40,1234567,A320
上海,澳门,HO1297,16:35,19:15,457,A320
上海,澳门,NX135,16:45,19:25,123567,A319
上海,曼谷,FM839,8:45,12:20,1234567,B738
上海,曼谷,TG663,8:45,12:40,1234567,A333
上海,曼谷,MU541,12:25,15:55,1234567,A320
上海,曼谷,UL887,14:05,17:55,1246,A330
上海,曼谷,FM853,21:05,0:20,1234567,B738
上海,曼谷,MU547,21:40,0:55,1234567,AB6
上海,台北,FM851,9:00,10:45,257,B767
上海,台北,FM801,9:35,11:15,1234567,B738
上海,台北,GE337,10:30,12:00,13,A321
上海,台北,CA195,11:00,12:55,367,A340
上海,台北,CA197,12:00,14:00,2456,B738
上海,台北,CI502,12:05,13:55,1234567,B744
上海,台北,MU5007,12:30,14:00,1234567,A346
上海,台北,BR711,13:15,15:10,12356,B744
上海,台北,MU5097,14:15,16:15,1234567,A321
上海,台北,CZ3095,15:25,17:15,134567,A321
上海,台北,MU5005,15:55,17:40,1357,A330
上海,台北,CI202,16:15,18:15,123467,A333
上海,台北,CA195,16:30,18:25,2,A340
上海,台北,CI504,19:50,21:40,357,B744
上海,台北,BR771,19:50,21:45,134567,A330
上海,台北,BR721/01,20:10,22:05,12457,B744
上海,台北,GE335,20:15,22:00,257,A321
上海,台北,GE303,23:05,0:30,3,A321
上海,富山,FM825,9:10,12:30,26,B738
上海,名古屋,MU529,9:15,12:20,1234567,A320
上海,名古屋,CA405,11:30,14:40,1234567,A319
上海,名古屋,MU719,12:00,15:05,1234567,A320
上海,名古屋,JL884,17:30,20:45,1234567,B738
上海,名古屋,CZ379,17:55,21:05,1234567,A321
上海,名古屋,MU291,18:15,21:25,1234567,A320
上海,大阪,CA921,9:30,12:30,1234567,A321
上海,大阪,MU515,9:30,12:40,1234567,A343
上海,大阪,MU747,12:20,15:40,1234567,B737
上海,大阪,NH156,12:30,15:25,1234567,B763
上海,大阪,JL894,13:10,16:15,1234567,B738
上海,大阪,FM821,15:30,18:25,1234567,B738
上海,大阪,CA163,17:15,20:15,1234567,B738
上海,大阪,JL898,17:50,20:55,1234567,B738
上海,大阪,MU729,18:20,21:00,1234567,A321
上海,大阪,NH154,19:05,22:00,1234567,B763
上海,冲绳,MU287,9:30,12:30,2457,A320
上海,冲绳,MU2149,13:30,16:30,36,A320
上海,吉隆坡,MH387,9:45,15:30,1234567,A333
上海,吉隆坡,MH389,16:05,21:35,1234567,B772
上海,吉隆坡,MU539,19:55,0:50,1234567,A320
上海,吉隆坡,MK681,21:25,3:05,2,A330
上海,苏黎世,LX189,9:45,15:40,1234567,A343
上海,底特律,DL180,10:10,12:05,1234567,B772
上海,台中,GE379,9:55,11:45,257,A321
上海,雅加达,GA895,10:05,15:40,1234567,A330
上海,赫尔辛基,AY058,10:15,14:50,1234567,A340
上海,福岗,MU517,10:30,13:10,1234567,B738
上海,福岗,CA915,11:50,14:25,1234567,B738
上海,福岗,MU531,18:10,20:50,1234567,A320
上海,高雄,CI582,10:45,13:00,26,A333
上海,高雄,BR705,13:15,15:25,47,B747
上海,伦敦,BA168,10:55,15:40,124567,B772
上海,伦敦,VS251,11:25,16:30,1234567,A346
上海,伦敦,MU551,12:35,17:40,2467,A333
上海,釜山,MU5043,8:50,11:35,134567,A320
